record_id,case_id,caller_msisdn,callee_msisdn,start_time,duration_sec,call_type,imei,imsi,cell_id,lac,source_file
CDR-00001,CASE_001,9999900101,9999900102,2026-08-15T09:30:00+00:00,62,OUT,356938035643101,404450123456101,CHD-0142,1201,cdr.csv
CDR-00002,CASE_001,9999900102,9999900103,2026-08-15T12:10:00+00:00,96,OUT,356938035643102,404450123456102,PKL-0088,1410,cdr.csv
CDR-00003,CASE_001,9999900101,9999900102,2026-08-16T09:30:00+00:00,164,OUT,356938035643101,404450123456101,CHD-0219,1202,cdr.csv
CDR-00004,CASE_001,9999900102,9999900103,2026-08-16T12:10:00+00:00,100,OUT,356938035643102,404450123456102,CHD-0142,1201,cdr.csv
CDR-00005,CASE_001,9999900101,9999900102,2026-08-17T09:30:00+00:00,54,OUT,356938035643101,404450123456101,CHD-0177,1201,cdr.csv
CDR-00006,CASE_001,9999900102,9999900103,2026-08-17T12:10:00+00:00,95,OUT,356938035643102,404450123456102,PKL-0088,1410,cdr.csv
CDR-00007,CASE_002,9999900104,9999900105,2026-08-15T09:00:00+00:00,28,OUT,356938035643104,404450123456104,MOH-0031,1305,cdr.csv
CDR-00008,CASE_002,9999900104,9999900105,2026-08-15T13:00:00+00:00,54,OUT,356938035643104,404450123456104,PKL-0088,1410,cdr.csv
CDR-00009,CASE_002,9999900104,9999900105,2026-08-15T17:00:00+00:00,20,OUT,356938035643104,404450123456104,CHD-0177,1201,cdr.csv
CDR-00010,CASE_002,9999900104,9999900105,2026-08-15T21:00:00+00:00,49,OUT,356938035643104,404450123456104,CHD-0219,1202,cdr.csv
CDR-00011,CASE_002,9999900104,9999900105,2026-08-16T01:00:00+00:00,48,OUT,356938035643104,404450123456104,PKL-0088,1410,cdr.csv
CDR-00012,CASE_002,9999900104,9999900105,2026-08-16T05:00:00+00:00,22,OUT,356938035643104,404450123456104,CHD-0142,1201,cdr.csv
CDR-00013,CASE_002,9999900104,9999900105,2026-08-16T09:00:00+00:00,47,OUT,356938035643104,404450123456104,CHD-0177,1201,cdr.csv
CDR-00014,CASE_002,9999900104,9999900105,2026-08-16T13:00:00+00:00,50,OUT,356938035643104,404450123456104,CHD-0142,1201,cdr.csv
CDR-00015,CASE_002,9999900104,9999900105,2026-08-16T17:00:00+00:00,50,OUT,356938035643104,404450123456104,CHD-0219,1202,cdr.csv
CDR-00016,CASE_002,9999900104,9999900105,2026-08-16T21:00:00+00:00,20,OUT,356938035643104,404450123456104,CHD-0219,1202,cdr.csv
CDR-00017,CASE_002,9999900104,9999900105,2026-08-17T01:00:00+00:00,22,OUT,356938035643104,404450123456104,CHD-0219,1202,cdr.csv
CDR-00018,CASE_002,9999900104,9999900105,2026-08-17T05:00:00+00:00,45,OUT,356938035643104,404450123456104,CHD-0142,1201,cdr.csv
CDR-00019,CASE_002,9999900104,9999900105,2026-08-17T09:00:00+00:00,48,OUT,356938035643104,404450123456104,MOH-0031,1305,cdr.csv
CDR-00020,CASE_002,9999900104,9999900105,2026-08-17T13:00:00+00:00,34,OUT,356938035643104,404450123456104,MOH-0031,1305,cdr.csv
CDR-00021,CASE_002,9999900104,9999900105,2026-08-17T17:00:00+00:00,38,OUT,356938035643104,404450123456104,CHD-0177,1201,cdr.csv
CDR-00022,CASE_002,9999900104,9999900105,2026-08-17T21:00:00+00:00,21,OUT,356938035643104,404450123456104,PKL-0088,1410,cdr.csv
CDR-00023,CASE_002,9999900104,9999900105,2026-08-18T01:00:00+00:00,26,OUT,356938035643104,404450123456104,CHD-0219,1202,cdr.csv
CDR-00024,CASE_002,9999900104,9999900105,2026-08-18T05:00:00+00:00,27,OUT,356938035643104,404450123456104,MOH-0031,1305,cdr.csv
CDR-00025,CASE_002,9999900104,9999900106,2026-08-15T10:35:00+00:00,147,OUT,356938035643104,404450123456104,CHD-0142,1201,cdr.csv
CDR-00026,CASE_002,9999900104,9999900106,2026-08-15T20:45:00+00:00,102,OUT,356938035643104,404450123456104,CHD-0177,1201,cdr.csv
CDR-00027,CASE_002,9999900104,9999900106,2026-08-16T06:55:00+00:00,163,OUT,356938035643104,404450123456104,CHD-0142,1201,cdr.csv
CDR-00028,CASE_002,9999900104,9999900106,2026-08-16T17:05:00+00:00,75,OUT,356938035643104,404450123456104,PKL-0088,1410,cdr.csv
CDR-00029,CASE_002,9999900104,9999900106,2026-08-17T03:15:00+00:00,137,OUT,356938035643104,404450123456104,CHD-0177,1201,cdr.csv
CDR-00030,CASE_002,9999900104,9999900106,2026-08-17T13:25:00+00:00,150,OUT,356938035643104,404450123456104,CHD-0142,1201,cdr.csv
CDR-00031,CASE_002,9999900104,9999900106,2026-08-17T23:35:00+00:00,127,OUT,356938035643104,404450123456104,CHD-0219,1202,cdr.csv
CDR-00032,CASE_002,9999900104,9999900106,2026-08-18T09:45:00+00:00,135,OUT,356938035643104,404450123456104,PKL-0088,1410,cdr.csv
CDR-00033,CASE_002,9999900104,9999900106,2026-08-18T19:55:00+00:00,100,OUT,356938035643104,404450123456104,PKL-0088,1410,cdr.csv
CDR-00034,CASE_002,9999900104,9999900106,2026-08-19T06:05:00+00:00,132,OUT,356938035643104,404450123456104,CHD-0142,1201,cdr.csv
CDR-00035,CASE_003,9999900106,9999900101,2026-08-15T18:00:00+00:00,49,OUT,356938035643106,404450123456106,CHD-0142,1201,cdr.csv
CDR-00036,CASE_003,9999900106,9999900101,2026-08-16T18:00:00+00:00,63,OUT,356938035643106,404450123456106,CHD-0142,1201,cdr.csv
CDR-00037,CASE_003,9999900106,9999900101,2026-08-17T18:00:00+00:00,42,OUT,356938035643106,404450123456106,CHD-0177,1201,cdr.csv
CDR-00038,CASE_003,9999900106,9999900101,2026-08-18T18:00:00+00:00,44,OUT,356938035643106,404450123456106,CHD-0142,1201,cdr.csv
CDR-00039,CASE_003,9999900106,9999900101,2026-08-19T18:00:00+00:00,70,OUT,356938035643106,404450123456106,CHD-0142,1201,cdr.csv
CDR-00040,CASE_003,9999900106,9999900101,2026-08-20T18:00:00+00:00,47,OUT,356938035643106,404450123456106,CHD-0177,1201,cdr.csv
CDR-00041,CASE_003,9999900106,9999900101,2026-08-21T18:00:00+00:00,31,OUT,356938035643106,404450123456106,CHD-0142,1201,cdr.csv
CDR-00042,CASE_003,9999900106,9999900101,2026-08-22T18:00:00+00:00,48,OUT,356938035643106,404450123456106,CHD-0177,1201,cdr.csv
CDR-00043,CASE_003,9999900106,9999900101,2026-08-23T18:00:00+00:00,51,OUT,356938035643106,404450123456106,CHD-0142,1201,cdr.csv
CDR-00044,CASE_003,9999900106,9999900101,2026-08-24T18:00:00+00:00,40,OUT,356938035643106,404450123456106,PKL-0088,1410,cdr.csv
CDR-00045,CASE_003,9999900106,9999900101,2026-08-25T18:00:00+00:00,34,OUT,356938035643106,404450123456106,CHD-0219,1202,cdr.csv
CDR-00046,CASE_003,9999900106,9999900101,2026-08-26T18:00:00+00:00,56,OUT,356938035643106,404450123456106,MOH-0031,1305,cdr.csv
CDR-00047,CASE_003,9999900106,9999900101,2026-08-27T18:00:00+00:00,48,OUT,356938035643106,404450123456106,CHD-0219,1202,cdr.csv
CDR-00048,CASE_003,9999900106,9999900101,2026-08-28T18:00:00+00:00,34,OUT,356938035643106,404450123456106,PKL-0088,1410,cdr.csv
CDR-00049,CASE_003,9999900106,9999900101,2026-08-29T18:00:00+00:00,34,OUT,356938035643106,404450123456106,MOH-0031,1305,cdr.csv
CDR-00050,CASE_003,9999900106,9999900101,2026-08-30T18:00:00+00:00,65,OUT,356938035643106,404450123456106,CHD-0219,1202,cdr.csv
CDR-00051,CASE_003,9999900106,9999900101,2026-08-31T18:00:00+00:00,33,OUT,356938035643106,404450123456106,CHD-0142,1201,cdr.csv
